"activity_at_age_19_appprenticeships","rgn11nm","university_flag"
NA,"South West","No university"
9.4081942336874,"West Midlands","No university"
18.0360721442886,"East Midlands","No university"
13.4228187919463,"South East","No university"
NA,"East of England","No university"
14.2857142857143,"Yorkshire and The Humber","No university"
19.4690265486726,"East Midlands","No university"
7.86570743405276,"East of England","No university"
12.7272727272727,"West Midlands","No university"
14.6611341632089,"North West","No university"
14.4628099173554,"East of England","No university"
NA,"East Midlands","No university"
13.677811550152,"North West","No university"
14.406779661017,"North East","No university"
7.33333333333333,"South West","No university"
17.8082191780822,"Yorkshire and The Humber","No university"
13.1313131313131,"North West","No university"
10.1673899566026,"East of England","University"
14.8936170212766,"East Midlands","No university"
22.093023255814,"Yorkshire and The Humber","No university"
10.296191819464,"West Midlands","No university"
15.7190635451505,"North West","No university"
9.38775510204082,"East of England","No university"
16.945107398568,"South West","No university"
16.0493827160494,"Yorkshire and The Humber","No university"
30.0353356890459,"North West","No university"
7.87878787878788,"Yorkshire and The Humber","No university"
15.9420289855072,"East of England","No university"
14.8148148148148,"North West","No university"
NA,"South East","No university"
14.1395348837209,"West Midlands","No university"
9.5679012345679,"East of England","No university"
10.1626016260163,"South East","No university"
17.0124481327801,"North West","No university"
11.2745098039216,"South West","University"
NA,"East of England","No university"
10.5263157894737,"North West","No university"
9.67741935483871,"East of England","No university"
7.04225352112676,"South East","No university"
15.2542372881356,"Yorkshire and The Humber","No university"
17.2302737520129,"West Midlands","No university"
15.9340659340659,"South West","No university"
15.1515151515152,"South East","No university"
12.4896608767577,"West Midlands","No university"
NA,"East of England","No university"
8.73861654718078,"North West","University"
13.9240506329114,"East Midlands","No university"
15,"East of England","No university"
14.7058823529412,"East Midlands","No university"
16.3546798029557,"North West","No university"
15.5339805825243,"East of England","No university"
6.81003584229391,"East of England","University"
8.33333333333333,"South West","No university"
NA,"East of England","No university"
12.5,"Yorkshire and The Humber","No university"
NA,"South East","No university"
13.1348511383538,"North West","No university"
7.64331210191083,"South East","No university"
21.0526315789474,"Yorkshire and The Humber","No university"
20.327868852459,"North East","No university"
19.5804195804196,"Yorkshire and The Humber","No university"
11.9266055045872,"North West","No university"
15.1898734177215,"Yorkshire and The Humber","No university"
NA,"North East","No university"
NA,"South East","No university"
16.3934426229508,"Yorkshire and The Humber","No university"
19.1780821917808,"West Midlands","No university"
NA,"East Midlands","No university"
10.4234527687296,"South East","No university"
NA,"South East","No university"
16.5137614678899,"North West","No university"
15.0684931506849,"Yorkshire and The Humber","No university"
13.3574007220217,"North West","No university"
11.0091743119266,"East of England","No university"
12.910284463895,"West Midlands","No university"
31.4285714285714,"North West","No university"
18.3333333333333,"North East","No university"
19.9134199134199,"North East","No university"
11.377245508982,"South West","No university"
16.7381974248927,"West Midlands","No university"
13.8211382113821,"East Midlands","No university"
12.0385232744783,"North West","No university"
8.33333333333333,"South East","No university"
16.5876777251185,"North West","No university"
10.7569721115538,"West Midlands","No university"
NA,"North East","No university"
14.9532710280374,"East Midlands","No university"
13.6,"East Midlands","No university"
10.6870229007634,"West Midlands","No university"
18.3098591549296,"Yorkshire and The Humber","No university"
14.7540983606557,"North West","No university"
17.4157303370787,"East Midlands","No university"
12.8205128205128,"Yorkshire and The Humber","No university"
9.48081264108352,"East of England","No university"
10.4712041884817,"South East","No university"
12.1739130434783,"South East","No university"
11.377245508982,"South East","No university"
NA,"East of England","No university"
17.3652694610778,"South East","No university"
10.6420404573439,"South East","No university"
18.380062305296,"North West","No university"
12.7272727272727,"Yorkshire and The Humber","No university"
13.7330754352031,"East of England","No university"
13.9805825242718,"East Midlands","No university"
16.9014084507042,"South East","No university"
8.58283433133733,"South East","No university"
12.258064516129,"North West","No university"
10.880829015544,"North West","No university"
16.5631469979296,"Yorkshire and The Humber","No university"
8.47457627118644,"South East","No university"
15.7190635451505,"North West","No university"
NA,"North West","No university"
10.880829015544,"South East","No university"
10.4838709677419,"Yorkshire and The Humber","No university"
11.5384615384615,"South West","No university"
9.63375796178344,"South East","No university"
11.2068965517241,"Yorkshire and The Humber","No university"
8.91089108910891,"South East","No university"
